original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event,Source
36,96.0,0.7368753708069717,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
44,83.5,0.930542166320817,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
43,77.0,0.2958775226696384,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
10,90.0,0.575253130729813,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
33,67.0,0.2597868119900255,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
11,52.5,0.6592232959287649,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
12,66.0,0.9175491753016315,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1.2,10s win vs 10s baseline,win
5,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
91,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
41,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
25,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
80,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
73,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
62,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
17,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
19,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
70,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
10,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
35,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
0,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
20,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
84,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
61,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
72,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
52,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
54,,,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1.4,10s win vs 10s baseline,win
27,22.0,0.017378363446698287,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
53,27.5,0.11637190781649932,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
81,47.5,0.4757700308289149,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
52,58.0,0.6050949464540121,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
0,63.0,0.7959872153886274,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
69,61.0,0.7173808884143212,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
67,66.0,0.9176178742687193,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
74,27.0,0.19523087097038216,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
25,64.5,0.8563589864870352,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
7,31.0,0.055719324352751155,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
13,44.0,0.21460188629190957,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
79,49.5,0.8492919643195107,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1.1,10s win vs 10s baseline,win
