original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
1,83.5,0.42213524686051795,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
15,57.0,0.214374303800544,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
97,69.0,0.47239920501692023,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
39,89.0,0.5501529499651694,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
2,18.5,0.3477548985675142,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
11,27.0,0.9591410100221092,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
77,34.0,0.24304120590031453,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-1_t1b3L_box1_merged.rec,1_1,10s lose vs 10s baseline
21,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
28,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
53,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
46,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
45,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
33,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
109,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
76,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
39,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
26,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
44,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
22,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
48,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
74,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
37,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
58,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
1,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
23,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
20,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
29,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
115,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
59,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
51,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
55,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
27,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
102,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
78,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
6,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
15,,,not significant,20230622_110832_standard_comp_to_both_rewarded_D1_subj_1-2_t3b3L_box1_merged.rec,1_2,10s lose vs 10s baseline
5,81.0,0.37026127045291435,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
91,101.0,0.8812927086539598,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
