,original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
130,36,93.5,0.7011814117431641,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
131,44,80.0,0.83172607421875,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
132,43,73.0,0.24548721313476562,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
133,10,94.0,0.7011814117431641,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
134,33,67.5,0.2934989929199219,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
135,12,66.0,0.93988037109375,not significant,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-2_t1b2L_box1_merged.rec,1-2,10s win vs 10s baseline
136,0,,,,20230624_105855_standard_comp_to_both_rewarded_D3_subj_1-4_t3b3L_box1_merged.rec,1-4,10s win vs 10s baseline
137,27,21.0,0.013092041015625,increases,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
138,81,47.5,0.52447509765625,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
139,52,52.0,0.67877197265625,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
140,0,63.0,0.820892333984375,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
141,69,61.5,0.781951904296875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
142,67,67.0,0.979949951171875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
143,25,63.5,0.860260009765625,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
144,7,30.0,0.0506591796875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
145,13,37.0,0.207763671875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
146,60,30.0,0.0506591796875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
147,68,42.0,0.33026123046875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
148,3,62.5,0.820892333984375,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
149,32,61.5,0.781951904296875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
150,62,34.0,0.083251953125,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
151,78,44.0,0.231201171875,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
152,64,51.5,0.433197021484375,not significant,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-1_t1b2L_box1_merged.rec,1-1,10s win vs 10s baseline
153,0,,,,20230625_112913_standard_comp_to_both_rewarded_D4_subj_1-4_t3b3L_box1_merged.rec,1-4,10s win vs 10s baseline
154,18,25.0,0.30126953125,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
155,9,17.0,0.1748046875,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
156,20,19.0,0.12939453125,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
157,154,14.0,0.05224609375,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
158,123,20.0,0.1513671875,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
159,115,34.0,0.7333984375,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
160,117,26.5,0.38037109375,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
161,150,12.5,0.16015625,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
162,13,9.5,0.0419921875,increases,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
163,190,23.0,0.6953125,not significant,20240320_142408_alone_comp_subj_3-1_t6b6_merged.rec,3-1,10s win vs 10s baseline
